workload,share_rate,acl_mix,policy,kv_gib,num_blocks,concurrency,requests,prompt_tokens,cached_tokens,cached_pct,recomputed_tokens,evictions,stalls,max_table_size,unauthorized_hits,probe_requests,probe_unauthorized_hits,probe_cached_tokens,mean_prompt_tokens,wall_s
w_share0.00_mix-default_u20_s0,0.0,0.50/0.30/0.20,UB-order,2,2340,4,400,620848,58656,9.45,562192,33799,0,2336,0,86,1771,130480,1552.1,0.51
w_share0.00_mix-default_u20_s0,0.0,0.50/0.30/0.20,UB-order,2,2340,16,400,620848,58656,9.45,562192,33811,0,2324,0,86,1771,130480,1552.1,0.66
w_share0.00_mix-default_u20_s0,0.0,0.50/0.30/0.20,UB-order,4,4681,4,400,620848,84656,13.64,536192,29833,0,4677,0,86,1771,130480,1552.1,0.81
w_share0.00_mix-default_u20_s0,0.0,0.50/0.30/0.20,UB-order,4,4681,16,400,620848,84464,13.6,536384,29857,0,4665,0,86,1771,130480,1552.1,0.95
w_share0.00_mix-default_u20_s0,0.0,0.50/0.30/0.20,UB-reuse,1,1170,4,400,620848,36000,5.8,584848,36385,0,1166,0,86,1771,130480,1552.1,0.21
w_share0.00_mix-default_u20_s0,0.0,0.50/0.30/0.20,UB-reuse,1,1170,16,400,620848,35808,5.77,585040,36404,388,1161,0,86,1771,130480,1552.1,0.36
w_share0.00_mix-default_u20_s0,0.0,0.50/0.30/0.20,UB-reuse,2,2340,4,400,620848,48880,7.87,571968,34410,0,2336,0,86,1771,130480,1552.1,0.51
w_share0.00_mix-default_u20_s0,0.0,0.50/0.30/0.20,UB-reuse,2,2340,16,400,620848,48880,7.87,571968,34422,0,2324,0,86,1771,130480,1552.1,0.66
w_share0.00_mix-default_u20_s0,0.0,0.50/0.30/0.20,UB-reuse,4,4681,4,400,620848,72384,11.66,548464,30600,0,4677,0,86,1771,130480,1552.1,0.82
w_share0.00_mix-default_u20_s0,0.0,0.50/0.30/0.20,UB-reuse,4,4681,16,400,620848,72336,11.65,548512,30615,0,4665,0,86,1771,130480,1552.1,0.97
w_share0.00_mix-open_u20_s0,0.0,0.80/0.15/0.05,B0,1,1170,4,400,613495,0,0.0,613495,38194,0,1167,0,59,0,2944,1533.7,0.5
w_share0.00_mix-open_u20_s0,0.0,0.80/0.15/0.05,B0,1,1170,16,400,613495,0,0.0,613495,38200,389,1163,0,59,0,2944,1533.7,0.64
w_share0.00_mix-open_u20_s0,0.0,0.80/0.15/0.05,B0,2,2340,4,400,613495,0,0.0,613495,37024,0,2337,0,59,0,5040,1533.7,0.79
w_share0.00_mix-open_u20_s0,0.0,0.80/0.15/0.05,B0,2,2340,16,400,613495,0,0.0,613495,37034,0,2326,0,59,0,5040,1533.7,0.93
w_share0.00_mix-open_u20_s0,0.0,0.80/0.15/0.05,B0,4,4681,4,400,613495,0,0.0,613495,34683,0,4678,0,59,0,5040,1533.7,1.08
w_share0.00_mix-open_u20_s0,0.0,0.80/0.15/0.05,B0,4,4681,16,400,613495,0,0.0,613495,34693,0,4667,0,59,0,5040,1533.7,1.23
w_share0.00_mix-open_u20_s0,0.0,0.80/0.15/0.05,B1,1,1170,4,400,613495,19344,3.15,594151,36985,0,1167,0,59,0,2944,1533.7,0.2
w_share0.00_mix-open_u20_s0,0.0,0.80/0.15/0.05,B1,1,1170,16,400,613495,19344,3.15,594151,36991,389,1162,0,59,0,2944,1533.7,0.35
w_share0.00_mix-open_u20_s0,0.0,0.80/0.15/0.05,B1,2,2340,4,400,613495,26224,4.27,587271,35385,0,2337,0,59,0,5040,1533.7,0.49
w_share0.00_mix-open_u20_s0,0.0,0.80/0.15/0.05,B1,2,2340,16,400,613495,26224,4.27,587271,35395,0,2326,0,59,0,5040,1533.7,0.63
